"","A1","A2","A3","B1","B2","B3","B4","А4"
"ENSG00000005889",2220,2263,2159,1545,1569,1767,1520,2347
"ENSG00000005893",5249,5315,5232,4113,4010,4422,4147,5378
"ENSG00000005961",27,22,33,383,363,331,345,19
"ENSG00000005981",178,201,190,322,323,342,295,193
"ENSG00000006007",2331,2345,2432,837,842,1028,972,2254
"ENSG00000006015",457,408,530,232,259,237,251,530
"ENSG00000006016",57,56,36,43,62,44,55,36
"ENSG00000006025",1259,1122,1219,152,190,130,146,1096
"ENSG00000006042",2382,2243,2404,79,114,96,67,2371
"ENSG00000006047",183,150,151,22,34,30,19,169
"ENSG00000006059",0,0,0,2,1,0,2,0
"ENSG00000006062",391,341,392,356,196,328,273,396
"ENSG00000006071",145,173,136,126,96,131,155,98
"ENSG00000006116",6,1,2,15,22,13,20,1
"ENSG00000006118",166,188,107,130,154,121,122,118
"ENSG00000006125",2000,2153,1988,2943,3058,2411,2725,1800
"ENSG00000006128",68,49,53,5,10,11,4,55
"ENSG00000006194",787,835,844,545,569,628,516,850
"ENSG00000006210",130,155,134,75,64,58,69,136
"ENSG00000006282",1004,864,934,225,250,202,208,951
"ENSG00000006283",111,98,135,142,144,157,148,127
"ENSG00000006327",771,759,898,54,54,55,61,845
"ENSG00000006377",2,5,3,32,30,22,27,8
"ENSG00000006432",644,539,603,176,213,139,106,558
"ENSG00000006451",1055,1218,1031,247,222,295,305,1027
"ENSG00000006453",1330,1391,1303,174,234,196,236,1287
"ENSG00000006459",3774,4250,3779,4639,4454,4385,4695,3682
"ENSG00000006468",108,117,119,79,91,88,74,129
"ENSG00000006530",843,896,842,1258,1368,1367,1348,858
"ENSG00000006534",790,624,752,413,366,293,253,800
"ENSG00000006555",1106,922,915,212,205,155,205,915
"ENSG00000006576",492,595,464,1118,957,1082,965,493
"ENSG00000006606",6,5,4,6,1,1,0,5
"ENSG00000006607",2501,2562,2677,639,648,556,680,2431
"ENSG00000006611",4431,4247,4268,77,89,48,87,4161
"ENSG00000006625",504,563,535,63,72,80,58,552
"ENSG00000006634",389,384,394,320,258,251,261,395
"ENSG00000006638",45,50,53,57,49,65,50,47
"ENSG00000006652",2357,2528,2233,2195,2344,2363,2422,2538
"ENSG00000006659",35,14,15,24,19,20,26,31
"ENSG00000006695",556,554,533,178,169,169,154,510
"ENSG00000006704",374,383,314,72,88,61,50,430
"ENSG00000006712",452,392,604,182,115,161,153,531
"ENSG00000006715",1783,2013,1906,2371,2139,2352,2102,1972
"ENSG00000006740",791,943,816,116,113,114,121,735
"ENSG00000006744",1021,907,1036,722,716,668,688,1125
"ENSG00000006747",4432,4772,4154,487,468,391,387,4212
"ENSG00000006756",2646,2511,2669,572,601,643,548,2495
"ENSG00000006757",437,421,414,318,318,308,309,339
"ENSG00000006788",4,4,2,17,18,21,23,5
"ENSG00000006831",1271,1255,1269,524,566,587,583,1276
"ENSG00000006837",130,128,153,238,209,201,216,169
"ENSG00000007001",20,26,30,33,46,38,35,17
"ENSG00000007038",4,4,3,8,8,8,8,4
"ENSG00000007047",277,250,231,163,223,143,175,291
"ENSG00000007062",512,491,462,53,139,59,38,473
"ENSG00000007080",142,120,114,59,75,52,83,135
"ENSG00000007129",25,33,22,93,102,80,85,22
"ENSG00000007168",5241,5546,5776,1602,1707,1795,1604,4856
"ENSG00000007171",196,161,222,7,18,13,19,182
"ENSG00000007174",54,19,25,98,74,72,87,30
"ENSG00000007202",4354,4697,4008,3532,3635,3233,3192,4605
"ENSG00000007216",14016,12685,14014,40,45,28,38,13576
"ENSG00000007237",803,740,731,1644,1414,1821,1558,747
"ENSG00000007255",151,126,197,140,113,97,108,156
"ENSG00000007264",230,187,209,271,266,276,264,186
"ENSG00000007306",0,1,0,2,6,16,8,4
"ENSG00000007312",114,111,124,596,612,571,573,103
"ENSG00000007314",3,1,2,85,49,17,69,1
"ENSG00000007341",679,685,720,404,310,367,335,747
"ENSG00000007350",0,1,0,32,101,62,58,9
"ENSG00000007372",77,49,66,129,132,114,132,98
"ENSG00000007376",280,201,279,56,38,50,34,292
"ENSG00000007384",179,115,147,19,35,15,35,189
"ENSG00000007392",1496,1694,1574,1015,943,845,854,1490
"ENSG00000007402",92,86,93,104,86,56,84,87
"ENSG00000007516",147,168,222,86,62,112,111,123
"ENSG00000007520",485,368,502,221,195,195,168,453
"ENSG00000007541",387,295,284,132,196,111,183,351
"ENSG00000007545",644,616,659,248,187,133,192,714
"ENSG00000007866",640,609,673,17,20,20,10,621
"ENSG00000007908",11,4,5,8,28,21,22,8
"ENSG00000007923",877,937,1028,377,482,410,327,945
"ENSG00000007933",105,125,78,69,80,44,74,120
"ENSG00000007944",1183,1264,1301,1199,1147,1188,1216,1300
"ENSG00000007952",10,7,11,9,5,6,15,12
"ENSG00000007968",189,155,159,381,376,308,315,148
"ENSG00000008018",2847,2566,2899,802,818,878,737,2950
"ENSG00000008056",15,9,7,36,14,21,29,13
"ENSG00000008083",804,825,807,1518,1400,1514,1359,881
"ENSG00000008086",962,765,681,1466,1912,1641,1601,700
"ENSG00000008118",22,20,27,11,14,7,16,20
"ENSG00000008128",652,647,643,464,337,329,297,568
"ENSG00000008130",1539,1441,1452,2628,2476,2508,2446,1507
"ENSG00000008196",1,0,0,42,33,33,38,0
"ENSG00000008197",0,0,0,14,8,8,18,0
"ENSG00000008226",182,142,157,129,171,212,172,167
