"","A1","A2","A3","B1","B2","B3","B4","А4"
"ENSG00000108239",1310,1344,1346,244,242,290,222,1320
"ENSG00000108242",6800,6978,7160,63,31,22,30,6978
"ENSG00000108244",6,2,2,349,365,348,345,3
"ENSG00000108255",18,15,12,20,32,30,29,13
"ENSG00000108256",5509,5625,4793,5301,5386,5681,5026,5295
"ENSG00000108262",452,379,432,260,229,160,270,427
"ENSG00000108298",11201,10212,11034,6854,6884,6168,5936,10864
"ENSG00000108306",1816,1591,1396,1246,1607,1360,1414,2098
"ENSG00000108309",52,37,39,693,741,529,523,56
"ENSG00000108312",1483,1341,1467,943,1041,864,853,1509
"ENSG00000108342",1,2,2,9,7,16,11,0
"ENSG00000108344",1580,1483,1561,443,438,310,376,1497
"ENSG00000108349",1364,1258,1298,1313,1234,1123,1156,1113
"ENSG00000108352",2056,1741,1974,70,123,85,90,1897
"ENSG00000108370",651,555,663,499,547,581,603,676
"ENSG00000108375",1182,1270,1289,161,232,215,200,1157
"ENSG00000108379",49,67,74,44,59,52,53,52
"ENSG00000108381",1022,1126,1294,631,599,662,636,1169
"ENSG00000108384",474,414,433,358,366,342,331,409
"ENSG00000108387",231,188,242,145,116,89,112,186
"ENSG00000108389",4038,3501,4128,1108,1188,1067,1276,3680
"ENSG00000108395",817,953,863,472,532,577,518,867
"ENSG00000108405",335,236,379,267,312,268,261,304
"ENSG00000108406",1107,1446,1206,962,950,1156,1115,1051
"ENSG00000108417",0,0,0,1,0,2,2,0
"ENSG00000108423",309,348,285,259,254,275,239,283
"ENSG00000108424",3347,3592,3626,2607,2938,2783,2594,3132
"ENSG00000108433",3052,2839,2795,1553,1513,1674,1527,2927
"ENSG00000108439",1480,1442,1419,308,258,283,291,1356
"ENSG00000108442",0,0,0,0,1,1,3,0
"ENSG00000108443",1189,1282,1269,1153,1201,935,1320,1355
"ENSG00000108448",111,114,127,88,126,100,130,135
"ENSG00000108452",4,2,2,7,5,7,6,3
"ENSG00000108465",2041,2253,2289,1549,1345,1591,1362,2096
"ENSG00000108468",616,517,595,516,545,465,515,575
"ENSG00000108469",1270,1219,1370,204,164,182,198,1324
"ENSG00000108474",599,665,637,435,405,372,376,558
"ENSG00000108479",623,380,613,154,146,97,114,618
"ENSG00000108506",901,885,809,785,734,760,694,861
"ENSG00000108509",525,447,475,254,304,216,213,348
"ENSG00000108510",7939,8691,9021,5378,5102,4665,5285,8106
"ENSG00000108511",18,53,33,38,24,48,34,14
"ENSG00000108515",139,133,132,86,112,97,113,139
"ENSG00000108516",0,0,0,4,0,0,0,0
"ENSG00000108518",4486,3417,4687,1386,1219,1007,1173,3934
"ENSG00000108523",788,764,749,298,294,238,211,777
"ENSG00000108528",1024,928,1212,331,381,313,301,1106
"ENSG00000108551",158,135,152,12,6,11,11,169
"ENSG00000108556",39,55,41,11,8,18,12,38
"ENSG00000108557",213,208,282,183,171,218,159,223
"ENSG00000108559",1191,1034,1125,497,512,567,550,1055
"ENSG00000108561",1556,1521,1599,463,512,538,559,1570
"ENSG00000108576",801,857,893,97,139,86,81,877
"ENSG00000108578",469,561,589,487,511,420,502,539
"ENSG00000108582",11680,12379,12456,6111,6133,5964,5837,11542
"ENSG00000108587",1810,1816,1736,1094,1205,1138,1245,1758
"ENSG00000108588",4169,4251,4065,779,836,840,881,3861
"ENSG00000108590",170,209,167,172,172,212,183,175
"ENSG00000108591",745,815,850,277,293,246,271,768
"ENSG00000108592",706,728,732,519,418,515,683,615
"ENSG00000108599",1204,1481,1135,1235,1288,1453,1098,1146
"ENSG00000108602",143,163,129,15,13,7,20,106
"ENSG00000108604",2407,2202,2444,1072,1056,1101,982,2498
"ENSG00000108622",310,250,362,689,712,726,657,325
"ENSG00000108639",1223,1038,1230,704,679,539,583,1197
"ENSG00000108641",57,68,85,17,26,27,24,67
"ENSG00000108651",1139,1283,1373,886,953,975,836,1220
"ENSG00000108654",13948,14180,12912,16275,15767,16337,15098,12251
"ENSG00000108666",586,642,502,324,500,275,400,653
"ENSG00000108669",2066,2129,2086,4313,4266,4130,3790,1948
"ENSG00000108671",1345,1653,1243,555,570,581,501,1361
"ENSG00000108679",9065,7735,9125,106,131,117,107,8901
"ENSG00000108684",30,17,23,4,8,34,11,16
"ENSG00000108688",0,0,0,5,3,4,4,0
"ENSG00000108691",72,67,72,13,7,4,5,86
"ENSG00000108700",131,111,168,4,5,0,6,149
"ENSG00000108702",1,0,3,1,6,6,1,0
"ENSG00000108733",190,189,207,133,125,149,140,177
"ENSG00000108759",0,0,0,0,2,4,3,0
"ENSG00000108771",371,358,475,325,318,273,295,400
"ENSG00000108773",253,172,202,175,139,120,140,238
"ENSG00000108774",1819,1505,1780,718,715,583,663,1621
"ENSG00000108784",892,815,867,113,147,121,104,801
"ENSG00000108785",24,19,10,7,4,3,3,18
"ENSG00000108786",723,575,613,165,172,112,125,638
"ENSG00000108788",2298,2298,2268,865,814,804,789,2117
"ENSG00000108797",115,112,123,122,116,136,137,124
"ENSG00000108798",255,266,283,320,329,264,331,256
"ENSG00000108799",1291,1190,1290,1443,1460,1132,1325,1229
"ENSG00000108813",0,0,0,16,12,12,10,0
"ENSG00000108819",707,711,590,552,578,454,440,557
"ENSG00000108821",459,555,463,131,93,110,118,361
"ENSG00000108823",51,57,81,8,18,5,12,77
"ENSG00000108825",25,33,21,2,0,0,0,16
"ENSG00000108826",816,829,925,151,207,211,179,846
"ENSG00000108828",678,617,784,135,169,151,112,606
"ENSG00000108829",2857,2783,2852,613,712,590,637,2690
"ENSG00000108830",82,90,57,66,63,80,64,75
"ENSG00000108839",71,140,111,185,173,154,133,116
"ENSG00000108840",1060,1049,1040,312,323,295,297,1131
"ENSG00000108846",2554,2379,2683,577,455,394,443,2593
"ENSG00000108848",3091,3281,3209,2893,2872,3088,2576,3034
"ENSG00000108849",0,0,0,0,3,4,5,1
"ENSG00000108852",91,93,78,33,30,40,18,98
"ENSG00000108854",2089,1953,2318,1009,1042,1084,1053,1912
"ENSG00000108861",2573,2699,2611,652,685,610,511,2509
"ENSG00000108878",4,3,3,8,9,11,10,5
"ENSG00000108883",1281,1510,1237,1112,1149,947,1128,1236
"ENSG00000108924",270,298,297,53,69,44,63,295
"ENSG00000108932",86,81,71,408,441,508,478,92
"ENSG00000108946",4593,4692,4543,7658,7409,6976,7240,4344
"ENSG00000108947",0,13,4,7,11,7,15,6
"ENSG00000108950",182,198,189,852,976,960,901,180
"ENSG00000108953",2064,1948,1920,200,212,213,190,1854
"ENSG00000108958",4,5,3,0,3,0,1,6
"ENSG00000108960",577,610,644,757,764,777,706,625
"ENSG00000108961",128,118,105,115,104,87,111,112
"ENSG00000108963",479,469,552,257,231,218,221,523
"ENSG00000108984",1883,1321,1909,1352,1867,1533,1626,1655
"ENSG00000109016",655,761,665,276,282,337,298,677
"ENSG00000109046",5085,4734,4941,3438,3469,3879,3604,5091
"ENSG00000109047",17,17,15,18,16,22,12,7
"ENSG00000109061",0,2,3,11,27,17,19,0
"ENSG00000109062",4763,3905,4487,557,446,375,439,4329
"ENSG00000109063",98,194,125,153,168,118,167,110
"ENSG00000109065",303,321,390,251,270,254,246,415
"ENSG00000109066",172,171,194,145,178,218,247,131
"ENSG00000109072",95,87,97,27,21,24,21,79
"ENSG00000109079",873,945,1046,305,241,261,316,815
"ENSG00000109083",792,796,774,216,218,231,219,729
"ENSG00000109084",296,259,312,112,113,144,93,287
"ENSG00000109089",1076,938,1099,14,13,8,17,1088
"ENSG00000109099",2295,2524,2232,98,71,61,75,2485
"ENSG00000109101",0,0,0,9,23,18,15,0
"ENSG00000109103",263,195,313,727,660,658,583,302
"ENSG00000109107",454,518,514,62,61,66,47,546
"ENSG00000109111",1726,1849,1864,1476,1498,1442,1333,1759
"ENSG00000109113",288,241,267,78,111,74,71,303
"ENSG00000109118",939,870,872,1184,974,994,1068,728
"ENSG00000109132",7,9,24,10,14,6,9,8
"ENSG00000109133",3579,3252,3398,3094,3264,3310,3198,3660
"ENSG00000109158",120,140,209,95,47,64,88,111
"ENSG00000109163",23,24,18,60,66,66,37,11
"ENSG00000109171",1300,1547,1435,1227,1029,880,898,1314
"ENSG00000109180",2515,2891,2771,800,733,778,832,2634
"ENSG00000109181",1,1,0,1,2,2,1,1
"ENSG00000109182",0,0,0,9,14,4,10,0
"ENSG00000109184",1119,1250,1146,512,480,495,567,1149
"ENSG00000109189",823,858,954,548,517,492,490,969
"ENSG00000109193",653,704,700,36,50,39,39,609
"ENSG00000109205",6,6,3,2,7,12,3,2
"ENSG00000109208",0,0,0,11,10,4,5,0
"ENSG00000109220",501,502,419,574,573,633,534,480
"ENSG00000109255",6,3,8,2,3,3,7,5
"ENSG00000109265",1642,1651,1608,69,73,45,51,1503
"ENSG00000109270",1626,1678,1854,624,644,714,577,1672
"ENSG00000109272",1,1,7,20,23,19,23,1
"ENSG00000109320",1332,1329,1514,2149,2182,2157,2163,1289
"ENSG00000109321",108,108,116,24,17,25,25,103
"ENSG00000109323",833,841,812,2262,2283,2223,2401,923
"ENSG00000109332",6970,6964,7230,8497,8244,8425,8536,7653
"ENSG00000109339",1553,1694,1606,2294,2438,2337,2466,1608
"ENSG00000109381",2087,2046,2105,2167,2464,2387,2249,2142
"ENSG00000109390",899,823,1063,166,163,170,121,927
"ENSG00000109424",4,1,3,8,10,7,4,1
"ENSG00000109436",1545,1836,1538,611,889,762,692,1595
"ENSG00000109445",628,703,705,406,430,461,483,707
"ENSG00000109452",1940,1835,1947,2544,2892,2599,2767,1895
"ENSG00000109458",1964,2224,2023,1096,1050,1051,882,2234
"ENSG00000109466",542,476,594,1249,1322,1480,1323,574
"ENSG00000109471",18,16,25,2,3,2,3,14
"ENSG00000109472",551,539,718,25,57,22,14,608
"ENSG00000109475",7747,7496,8337,447,430,490,471,8502
"ENSG00000109501",574,467,603,15,19,39,25,552
"ENSG00000109511",4,2,3,16,11,7,8,2
"ENSG00000109519",772,678,746,488,542,505,469,699
"ENSG00000109534",62,69,50,51,58,43,53,64
"ENSG00000109536",137,138,152,99,114,113,121,132
"ENSG00000109572",4029,4683,3879,1602,1763,1508,1647,4051
"ENSG00000109576",54,34,28,21,15,13,30,48
"ENSG00000109586",2591,3047,2884,1066,1099,1092,1132,2669
"ENSG00000109606",3927,4299,4110,2633,2589,2955,2619,4278
"ENSG00000109610",43,36,40,18,15,2,11,57
"ENSG00000109618",2382,2628,2348,656,652,638,782,2225
"ENSG00000109625",11,4,14,7,6,6,6,3
"ENSG00000109654",3678,3883,3807,274,241,209,224,3565
"ENSG00000109667",554,553,618,174,170,197,160,567
"ENSG00000109670",2751,2733,2923,1532,1357,1470,1573,2556
"ENSG00000109674",108,91,99,215,278,286,213,112
"ENSG00000109680",139,167,149,215,210,255,251,159
"ENSG00000109684",92,115,67,117,123,94,71,83
"ENSG00000109685",2058,2044,2084,1207,1036,1116,1081,2072
"ENSG00000109686",3606,3983,3457,186,109,139,124,3458
"ENSG00000109689",1022,894,1032,863,774,740,799,1034
"ENSG00000109705",49,19,39,5,5,0,2,33
"ENSG00000109736",495,346,481,198,177,195,167,525
"ENSG00000109738",21,27,29,7,8,18,11,27
"ENSG00000109743",1445,1454,1520,739,756,762,682,1527
"ENSG00000109756",2258,2169,1898,2389,2320,2330,2295,1953
"ENSG00000109758",3,3,2,2,3,5,5,1
"ENSG00000109762",585,676,519,282,330,255,274,517
"ENSG00000109771",230,203,252,179,193,217,214,199
"ENSG00000109775",657,832,691,194,197,221,264,718
"ENSG00000109787",4598,4837,4524,3608,3462,3683,3439,4642
"ENSG00000109790",939,1033,923,703,703,755,822,1016
"ENSG00000109794",255,243,253,104,89,52,58,217
"ENSG00000109805",349,495,464,95,99,115,47,450
"ENSG00000109814",2473,2255,2228,246,219,230,276,2314
"ENSG00000109819",1656,1654,1510,91,92,116,93,1475
"ENSG00000109832",84,63,72,67,102,131,119,60
"ENSG00000109846",191,148,162,14,20,14,22,167
"ENSG00000109851",0,0,0,1,2,2,1,0
"ENSG00000109854",3796,3863,3960,584,495,476,514,3754
"ENSG00000109861",6180,5659,6134,5086,5128,5427,4867,6241
"ENSG00000109881",129,122,135,75,58,38,35,150
"ENSG00000109906",4041,3476,3729,342,325,306,351,3923
"ENSG00000109911",1142,1197,1188,1338,1402,1375,1374,1260
"ENSG00000109917",1220,5377,2135,2128,2200,2755,1734,2044
"ENSG00000109919",1827,1694,1740,254,263,289,247,1752
"ENSG00000109920",1057,1270,1101,1044,1086,1054,988,1037
"ENSG00000109927",26,25,21,54,62,70,35,25
"ENSG00000109929",1460,1517,1485,268,290,320,300,1584
"ENSG00000109943",57,61,50,132,146,157,159,48
"ENSG00000109944",109,111,102,127,94,108,100,98
"ENSG00000109956",114,110,104,337,377,437,341,119
"ENSG00000109971",19052,18830,19358,8955,9661,9619,9259,18438
"ENSG00000109991",19,10,10,39,31,34,29,16
"ENSG00000110002",1599,1610,1665,224,182,204,169,1659
"ENSG00000110011",339,222,241,75,77,58,73,201
"ENSG00000110013",1779,1858,1788,358,386,418,373,1821
"ENSG00000110025",844,812,788,264,215,198,273,804
"ENSG00000110031",480,451,409,709,749,783,698,432
"ENSG00000110042",1498,1612,1655,360,411,292,386,1608
"ENSG00000110046",865,751,814,445,412,362,448,783
"ENSG00000110047",1215,1078,1352,631,756,656,634,1301
"ENSG00000110048",2536,2264,2400,854,856,858,938,2347
"ENSG00000110057",922,1013,1022,628,675,546,477,1008
"ENSG00000110060",347,298,477,126,131,127,135,272
"ENSG00000110063",184,187,187,252,274,259,223,193
"ENSG00000110066",2532,2686,2361,1734,1647,1753,1762,2342
"ENSG00000110074",387,344,395,163,245,234,221,350
"ENSG00000110075",4749,5015,4776,4016,4276,3956,3975,4639
"ENSG00000110076",16,18,36,33,55,47,44,26
"ENSG00000110077",2058,2282,2325,2845,2792,2850,2726,2343
"ENSG00000110079",799,758,831,170,172,183,213,820
"ENSG00000110080",94,71,47,247,223,277,251,72
"ENSG00000110090",4973,4695,4935,861,939,875,1106,4887
"ENSG00000110092",766,882,879,45,26,40,45,735
"ENSG00000110104",216,224,181,117,125,103,99,177
"ENSG00000110107",1186,1094,1080,785,710,668,696,1014
"ENSG00000110108",388,472,492,136,134,147,145,449
"ENSG00000110148",3,1,6,5,6,9,9,0
"ENSG00000110169",9,10,16,15,55,47,54,8
"ENSG00000110171",1223,1171,1136,59,89,82,93,1428
"ENSG00000110172",640,766,643,741,860,879,759,670
"ENSG00000110195",9,14,10,4,9,3,8,18
"ENSG00000110200",587,531,558,290,288,225,220,533
"ENSG00000110203",3,3,12,122,127,136,145,3
"ENSG00000110218",449,441,504,242,254,240,231,482
"ENSG00000110237",274,382,287,61,45,51,92,289
"ENSG00000110243",25,17,17,3,7,6,4,21
"ENSG00000110244",188110,164370,200417,2255,2284,2248,2031,186388
"ENSG00000110245",7903,6500,8088,83,94,40,65,7903
"ENSG00000110274",403,385,406,550,545,466,565,406
"ENSG00000110315",2492,2462,2453,2350,2345,2721,2574,2635
"ENSG00000110318",290,223,257,297,274,303,287,221
"ENSG00000110321",15090,17231,15026,4939,4967,5048,4545,15071
"ENSG00000110324",1107,992,1172,4390,4727,4608,4392,1145
"ENSG00000110328",196,204,199,16,15,13,8,212
"ENSG00000110330",2805,3095,2873,2321,2500,2489,2307,2945
"ENSG00000110344",3841,4084,3763,2406,2437,2397,2075,3767
"ENSG00000110367",6068,6210,6063,9142,9452,9309,8969,6002
"ENSG00000110375",2,2,4,11,9,9,13,0
"ENSG00000110395",1526,1791,1631,2620,2511,2507,2274,1640
"ENSG00000110400",485,542,404,133,87,37,101,432
"ENSG00000110422",12869,13186,13072,5427,5698,5722,5514,12093
"ENSG00000110427",7,12,9,40,40,29,55,10
"ENSG00000110429",2705,2566,2710,1074,1316,1451,1270,2910
"ENSG00000110435",832,878,924,234,270,217,292,914
"ENSG00000110436",177,239,202,335,412,275,365,184
"ENSG00000110442",758,676,671,460,415,444,329,672
"ENSG00000110446",302,245,334,310,382,366,345,312
"ENSG00000110448",109,106,121,455,417,305,315,98
"ENSG00000110455",426,388,449,237,257,232,249,320
"ENSG00000110484",0,0,0,10,11,16,7,0
"ENSG00000110492",1780,1541,1950,9,10,6,8,1707
"ENSG00000110497",1393,1394,1353,551,598,691,687,1289
"ENSG00000110514",1315,923,1188,1513,1368,1129,1226,1101
"ENSG00000110536",326,340,380,103,110,103,84,345
"ENSG00000110583",741,825,738,158,127,203,148,850
"ENSG00000110619",1020,1042,1212,788,677,684,621,970
"ENSG00000110628",1102,730,1106,104,93,72,92,1169
"ENSG00000110651",1591,1343,1799,356,306,334,308,1798
"ENSG00000110660",1287,1330,1429,108,107,121,97,1443
"ENSG00000110665",13,4,1,725,685,658,619,13
"ENSG00000110675",44,39,37,56,56,60,45,20
"ENSG00000110680",0,0,0,8,3,16,11,0
"ENSG00000110693",3492,3425,3374,979,886,1077,1057,3194
"ENSG00000110696",2826,3182,2773,1917,1985,2170,1856,2699
"ENSG00000110697",663,676,733,309,492,262,405,784
"ENSG00000110700",5289,4972,5383,2490,2577,2597,2466,5466
"ENSG00000110711",747,641,787,121,154,129,91,711
"ENSG00000110713",2971,3067,3102,4108,4520,3940,3661,3100
"ENSG00000110717",1262,1154,1363,222,225,186,201,1276
"ENSG00000110719",1598,1420,1882,1365,1430,1130,1208,1623
"ENSG00000110721",2247,2381,2417,223,201,188,179,2508
"ENSG00000110723",734,655,710,233,232,286,205,624
"ENSG00000110756",2219,2199,2043,727,1000,858,635,1968
"ENSG00000110768",1341,1484,1388,787,776,779,862,1282
"ENSG00000110777",760,665,697,1168,1172,895,1224,665
"ENSG00000110786",24,22,22,42,26,43,43,17
"ENSG00000110799",2389,1952,2751,222,69,256,140,1838
"ENSG00000110801",1629,1447,1572,790,744,695,735,1659
"ENSG00000110811",105,151,147,49,55,19,31,93
"ENSG00000110841",1579,1630,1768,320,270,223,344,1430
"ENSG00000110844",126,165,154,108,111,101,102,180
"ENSG00000110848",492,487,525,218,227,261,233,499
"ENSG00000110851",1298,1429,1151,589,493,478,427,1180
"ENSG00000110852",268,341,313,748,797,828,800,296
"ENSG00000110871",556,583,531,230,242,274,209,558
"ENSG00000110876",356,294,318,2269,2260,1816,1656,317
"ENSG00000110880",1665,1527,1499,1640,1640,1495,1501,1517
"ENSG00000110881",15,25,19,43,51,7,66,16
"ENSG00000110887",2,0,0,28,20,14,20,0
"ENSG00000110888",551,772,540,795,932,790,794,702
"ENSG00000110900",112,81,107,10,35,10,28,156
"ENSG00000110906",716,576,634,582,542,529,504,660
"ENSG00000110911",1504,1497,1656,1087,1174,1044,1124,1609
"ENSG00000110917",7425,7284,7285,1332,1361,1340,1301,6302
"ENSG00000110921",336,232,289,115,121,111,111,259
"ENSG00000110925",600,494,537,412,420,276,387,495
"ENSG00000110931",1919,1884,2049,1349,1340,1299,1222,1889
"ENSG00000110934",383,448,408,2894,2846,2766,2592,402
"ENSG00000110944",8,7,7,45,62,64,55,11
"ENSG00000110955",19057,17456,18893,3619,3519,3501,3386,18519
"ENSG00000110958",3203,3586,3298,947,922,1085,925,3000
"ENSG00000110975",13,32,32,35,20,15,25,24
"ENSG00000110987",156,147,177,130,130,119,103,177
"ENSG00000111011",2664,3053,2541,1463,1486,1497,1369,2783
"ENSG00000111012",18,13,27,24,11,16,8,18
"ENSG00000111046",0,1,0,5,3,9,4,1
"ENSG00000111049",0,0,0,6,0,1,2,0
"ENSG00000111052",68,80,49,1213,1321,1265,1259,52
"ENSG00000111057",5486,5404,5686,133,107,122,135,5370
"ENSG00000111058",140,113,168,309,307,373,395,90
"ENSG00000111077",828,897,1119,135,143,126,93,917
"ENSG00000111087",63,89,94,226,253,255,240,56
"ENSG00000111110",425,369,559,91,114,121,102,308
"ENSG00000111142",1172,1260,1192,410,607,516,504,1275
"ENSG00000111144",3730,3745,3665,4770,4659,4833,4562,3580
"ENSG00000111145",510,406,450,809,925,1048,969,393
"ENSG00000111181",210,187,247,70,63,58,101,226
"ENSG00000111186",175,167,150,20,35,23,34,140
"ENSG00000111196",294,366,306,159,174,245,203,346
"ENSG00000111199",9,1,3,10,18,15,10,1
"ENSG00000111203",687,556,615,690,597,488,483,546
"ENSG00000111206",327,351,346,185,190,170,158,272
"ENSG00000111215",4,5,4,7,5,5,6,3
"ENSG00000111218",20,14,11,29,45,19,29,7
"ENSG00000111224",469,500,486,609,741,850,641,489
"ENSG00000111229",3533,3602,3582,2750,2734,2737,2657,3730
"ENSG00000111231",201,244,210,126,129,113,111,248
"ENSG00000111237",1581,1516,1428,884,874,984,763,1485
"ENSG00000111241",0,0,1,4,0,0,4,0
"ENSG00000111245",0,2,0,1,3,0,0,0
"ENSG00000111247",173,212,225,55,62,53,80,168
"ENSG00000111249",5,7,7,63,96,88,44,10
"ENSG00000111252",686,638,644,1123,1138,1003,956,609
"ENSG00000111254",30,25,43,29,16,38,39,18
"ENSG00000111261",327,297,312,226,222,194,194,275
"ENSG00000111262",13,12,9,22,26,20,36,18
"ENSG00000111266",1655,1772,1722,293,276,272,259,1698
"ENSG00000111269",2525,2618,2540,988,1044,1119,1022,2498
"ENSG00000111271",1178,1273,1301,490,511,516,444,1118
"ENSG00000111275",16839,14320,16496,716,753,889,732,15577
"ENSG00000111276",2817,2847,2907,2337,2219,1992,2081,2855
"ENSG00000111291",36,27,28,7,13,13,8,38
"ENSG00000111300",1151,1133,1199,1089,1062,974,969,1088
"ENSG00000111305",473,451,473,225,206,200,233,467
"ENSG00000111319",620,557,666,159,175,154,151,604
"ENSG00000111321",1463,1248,1425,499,441,389,482,1415
"ENSG00000111325",486,410,441,230,220,181,189,408
"ENSG00000111328",482,494,480,228,277,232,232,520
"ENSG00000111331",468,442,483,514,551,484,439,569
"ENSG00000111335",279,251,281,1155,1072,1002,1013,307
"ENSG00000111339",68,91,60,94,53,64,74,71
"ENSG00000111341",2447,2236,2522,78,67,67,92,2541
"ENSG00000111344",58,42,46,36,42,45,45,38
"ENSG00000111348",1002,1035,936,4458,4075,3816,3847,950
"ENSG00000111358",817,750,932,343,359,341,430,794
"ENSG00000111361",1055,902,1056,673,587,559,574,1003
"ENSG00000111364",621,593,536,353,434,358,337,527
"ENSG00000111371",4336,4254,4491,6414,6731,6655,6158,4345
"ENSG00000111404",51,71,77,24,19,11,11,57
"ENSG00000111405",20,46,21,94,95,70,58,18
"ENSG00000111412",1575,1681,1584,797,684,685,715,1477
"ENSG00000111424",3321,3197,3471,223,169,190,146,3223
"ENSG00000111432",13,13,11,17,14,12,15,14
"ENSG00000111445",443,400,415,248,263,255,230,439
"ENSG00000111450",250,290,345,357,290,438,367,222
"ENSG00000111452",795,949,826,257,330,322,229,711
"ENSG00000111481",1678,1725,1724,538,543,518,567,1608
"ENSG00000111490",234,282,277,109,131,111,129,331
"ENSG00000111530",5989,6666,6382,1877,2123,2428,2192,6567
"ENSG00000111536",5,4,2,12,15,9,18,6
"ENSG00000111537",4,2,5,40,48,51,52,10
"ENSG00000111540",2176,2389,2287,887,910,849,870,2329
"ENSG00000111554",255,313,299,516,581,611,548,304
"ENSG00000111581",984,1054,1241,704,727,820,729,1112
"ENSG00000111596",2371,2666,2575,2411,2450,2460,2574,2546
"ENSG00000111602",387,390,351,203,164,149,207,338
"ENSG00000111605",2865,2799,3419,1857,1945,1910,1924,3025
"ENSG00000111615",2140,2336,1950,1614,1595,1650,1413,1974
"ENSG00000111639",808,780,806,187,161,198,187,881
"ENSG00000111640",25313,21046,24096,8418,8524,7424,7545,24109
"ENSG00000111641",235,273,252,283,269,307,279,292
"ENSG00000111642",4397,4477,4345,2738,2714,2558,2316,4125
"ENSG00000111644",74,47,72,169,157,128,143,53
"ENSG00000111647",1520,1688,1488,1875,1887,1878,1739,1519
"ENSG00000111652",460,422,517,257,230,232,258,499
"ENSG00000111653",534,489,601,336,325,266,312,668
"ENSG00000111664",12,36,11,31,15,9,23,21
"ENSG00000111665",541,506,527,128,129,132,110,504
"ENSG00000111666",9603,10206,10232,1329,1320,1338,1327,10313
"ENSG00000111667",1139,1182,1390,441,518,385,375,1285
"ENSG00000111669",14179,12775,15009,1934,1879,1744,1843,14464
"ENSG00000111670",3205,3457,3009,1662,1737,1795,1583,3409
"ENSG00000111671",160,191,154,154,130,129,122,155
"ENSG00000111674",161,137,114,177,244,208,208,197
"ENSG00000111676",373,339,360,89,62,70,41,367
"ENSG00000111678",698,638,750,313,286,323,292,719
"ENSG00000111679",932,812,901,1042,1108,1026,1032,988
"ENSG00000111684",2430,2360,2269,350,386,298,274,2241
"ENSG00000111696",819,805,652,440,449,301,399,548
"ENSG00000111700",1,1,1,16,9,4,14,0
"ENSG00000111701",1120,986,1070,9,14,13,17,1160
"ENSG00000111704",163,192,170,262,307,241,254,168
"ENSG00000111707",2064,2175,2071,1618,1799,1510,1578,1814
"ENSG00000111711",1060,1045,828,568,589,627,645,964
"ENSG00000111713",0,5,0,3,6,9,6,0
"ENSG00000111716",1434,1328,1507,2221,2131,2208,2155,1520
"ENSG00000111725",1267,1215,1363,688,777,714,712,1309
"ENSG00000111726",2388,2782,2411,271,243,214,235,2387
"ENSG00000111727",1899,1841,1946,496,604,669,610,1893
"ENSG00000111728",303,276,221,521,486,545,460,229
"ENSG00000111729",38,77,62,438,382,371,333,31
"ENSG00000111731",1649,1900,1677,1649,1658,1754,1637,1716
"ENSG00000111732",268,340,194,78,72,59,87,269
"ENSG00000111737",851,743,746,437,534,478,507,811
"ENSG00000111752",289,246,275,379,303,319,224,281
"ENSG00000111775",6538,5297,6977,652,623,652,565,6895
"ENSG00000111780",0,0,0,0,0,0,0,3
"ENSG00000111783",13,17,6,41,44,61,53,21
"ENSG00000111785",574,729,634,491,509,576,461,552
"ENSG00000111786",1290,1316,1307,873,930,987,880,1344
"ENSG00000111788",66,72,100,36,35,24,42,99
"ENSG00000111790",1704,1688,1679,1589,1606,1785,1736,1767
"ENSG00000111796",411,425,420,291,311,363,299,436
"ENSG00000111799",2978,2526,2983,155,92,155,90,2491
"ENSG00000111801",750,890,816,1973,1826,1860,1731,692
"ENSG00000111802",7256,7465,7255,1360,1411,1374,1336,7097
"ENSG00000111816",10019,10912,9637,6731,6692,6864,6781,10054
"ENSG00000111817",1397,1327,1570,1372,1247,1341,1387,1325
"ENSG00000111832",1205,1181,1076,237,221,250,170,1103
"ENSG00000111834",35,35,45,32,23,26,25,33
"ENSG00000111837",114,101,128,388,363,329,323,125
"ENSG00000111843",895,830,953,91,84,83,82,929
"ENSG00000111845",114,112,109,51,45,57,42,98
"ENSG00000111846",733,704,752,395,359,309,381,623
"ENSG00000111850",408,413,405,393,416,419,440,385
"ENSG00000111859",1829,1976,1865,4852,4969,4983,4850,1942
"ENSG00000111860",616,657,692,1676,1729,1826,1638,493
"ENSG00000111863",1876,1955,2116,280,243,291,275,1909
"ENSG00000111875",651,743,700,716,568,567,548,734
"ENSG00000111877",1105,1224,1250,1040,959,938,1153,1149
"ENSG00000111879",226,255,242,144,124,195,104,244
"ENSG00000111880",809,806,777,775,792,901,808,802
"ENSG00000111885",10634,10873,10709,1632,1629,1735,1602,11242
"ENSG00000111886",35,23,47,49,47,30,47,32
"ENSG00000111897",10977,11416,11329,3781,3876,4354,4088,11380
"ENSG00000111906",546,494,538,232,258,271,203,562
"ENSG00000111907",631,439,629,411,429,376,424,521
"ENSG00000111911",1433,1453,1434,440,432,449,451,1439
"ENSG00000111912",2122,2025,1973,975,981,975,948,2130
"ENSG00000111913",340,487,361,14495,14697,14590,14015,360
"ENSG00000111961",937,1060,1001,166,140,263,238,1075
"ENSG00000111962",319,350,338,132,229,332,248,300
"ENSG00000111971",0,0,0,1,1,1,1,0
"ENSG00000111981",76,83,76,70,77,113,93,85
"ENSG00000112029",256,252,247,98,96,106,90,265
