"","x"
"246","ENSG00000165181"
"247","ENSG00000168010"
"248","ENSG00000140853"
"249","ENSG00000237094"
"250","ENSG00000160588"
"251","ENSG00000115956"
"252","ENSG00000254087"
"253","ENSG00000166046"
"254","ENSG00000186469"
"255","ENSG00000271425"
"256","ENSG00000211451"
"257","ENSG00000014257"
"258","ENSG00000088992"
"259","ENSG00000282331"
"260","ENSG00000205269"
"261","ENSG00000162946"
"262","ENSG00000180353"
"263","ENSG00000265972"
"264","ENSG00000142347"
"265","ENSG00000107262"
"266","ENSG00000091106"
"267","ENSG00000132965"
"268","ENSG00000073849"
"269","ENSG00000115935"
"270","ENSG00000197872"
"271","ENSG00000277734"
"272","ENSG00000123700"
"273","ENSG00000115415"
"274","ENSG00000135655"
"275","ENSG00000155657"
"276","ENSG00000170989"
"277","ENSG00000104714"
"278","ENSG00000228964"
"279","ENSG00000136490"
"280","ENSG00000177125"
"281","ENSG00000124731"
"282","ENSG00000115590"
"283","ENSG00000121966"
"284","ENSG00000077420"
"285","ENSG00000272419"
"286","ENSG00000181785"
"287","ENSG00000112531"
"288","ENSG00000158856"
"289","ENSG00000205176"
"290","ENSG00000150637"
"291","ENSG00000150995"
"292","ENSG00000189067"
"293","ENSG00000162511"
"294","ENSG00000090376"
"295","ENSG00000091039"
"296","ENSG00000168461"
"297","ENSG00000129355"
"298","ENSG00000168421"
"299","ENSG00000117115"
"300","ENSG00000156738"
"301","ENSG00000236334"
"302","ENSG00000079263"
"303","ENSG00000060138"
"304","ENSG00000186854"
"305","ENSG00000155099"
"306","ENSG00000137393"
"307","ENSG00000168329"
"308","ENSG00000094755"
"309","ENSG00000100453"
"310","ENSG00000180644"
"311","ENSG00000172575"
"312","ENSG00000115085"
"313","ENSG00000040933"
"314","ENSG00000135250"
"315","ENSG00000263264"
"316","ENSG00000145284"
"317","ENSG00000148219"
"318","ENSG00000132274"
"319","ENSG00000129472"
"320","ENSG00000143774"
"321","ENSG00000122223"
"322","ENSG00000163947"
"323","ENSG00000165805"
"324","ENSG00000074706"
"325","ENSG00000110367"
"326","ENSG00000100368"
"327","ENSG00000163154"
"328","ENSG00000174130"
"329","ENSG00000139370"
"330","ENSG00000134539"
"331","ENSG00000205045"
"332","ENSG00000198673"
"333","ENSG00000078304"
"334","ENSG00000135636"
"335","ENSG00000029534"
"336","ENSG00000169554"
"337","ENSG00000249437"
"338","ENSG00000149177"
"339","ENSG00000147010"
"340","ENSG00000137193"
"341","ENSG00000067066"
"342","ENSG00000162711"
"343","ENSG00000073331"
"344","ENSG00000196083"
"345","ENSG00000135905"
"346","ENSG00000182487"
"347","ENSG00000177156"
"348","ENSG00000182866"
"349","ENSG00000163349"
"350","ENSG00000152078"
"351","ENSG00000090013"
"352","ENSG00000169442"
"353","ENSG00000135821"
"354","ENSG00000104904"
"355","ENSG00000196405"
"356","ENSG00000173868"
"357","ENSG00000165929"
"358","ENSG00000197563"
"359","ENSG00000114626"
"360","ENSG00000011198"
"361","ENSG00000185697"
"362","ENSG00000133048"
"363","ENSG00000115758"
"364","ENSG00000156218"
"365","ENSG00000154237"
"366","ENSG00000197535"
"367","ENSG00000125347"
"368","ENSG00000182162"
"369","ENSG00000168769"
"370","ENSG00000171791"
"371","ENSG00000140199"
"372","ENSG00000213462"
"373","ENSG00000027075"
"374","ENSG00000132334"
"375","ENSG00000139278"
"376","ENSG00000162367"
"377","ENSG00000119922"
"378","ENSG00000084110"
"379","ENSG00000188738"
"380","ENSG00000172345"
"381","ENSG00000108950"
"382","ENSG00000139187"
"383","ENSG00000186407"
"384","ENSG00000181631"
"385","ENSG00000187239"
"386","ENSG00000216490"
"387","ENSG00000127152"
"388","ENSG00000125910"
"389","ENSG00000066926"
"390","ENSG00000171940"
"391","ENSG00000054967"
"392","ENSG00000116675"
"393","ENSG00000254838"
"394","ENSG00000164265"
"395","ENSG00000076513"
"396","ENSG00000131389"
"397","ENSG00000131355"
"398","ENSG00000166947"
"399","ENSG00000163171"
"400","ENSG00000100450"
"401","ENSG00000136161"
"402","ENSG00000281106"
"403","ENSG00000136531"
"404","ENSG00000170315"
"405","ENSG00000071054"
"406","ENSG00000087589"
"407","ENSG00000147894"
"408","ENSG00000104903"
"409","ENSG00000138964"
"410","ENSG00000100077"
"411","ENSG00000109323"
"412","ENSG00000086300"
"413","ENSG00000185278"
"414","ENSG00000180871"
"415","ENSG00000101474"
"416","ENSG00000163564"
"417","ENSG00000108946"
"418","ENSG00000164483"
"419","ENSG00000105639"
"420","ENSG00000150977"
"421","ENSG00000011600"
"422","ENSG00000182885"
"423","ENSG00000091592"
"424","ENSG00000166579"
"425","ENSG00000133794"
"426","ENSG00000183813"
"427","ENSG00000108669"
"428","ENSG00000124831"
"429","ENSG00000149311"
"430","ENSG00000211751"
"431","ENSG00000093072"
"432","ENSG00000168685"
"433","ENSG00000118308"
"434","ENSG00000211689"
"435","ENSG00000285868"
