atom_pair	reqm	eps
C-C	4	0,15
C-N	3,75	0,155
C-O	3,6	0,173
C-S	4	0,173
C-H	3	0,055
N-C	3,75	0,155
N-N	3,5	0,16
N-O	3,35	0,179
N-S	3,75	0,179
N-H	2,75	0,057
O-C	3,6	0,173
O-N	3,35	0,179
O-O	3,2	0,2
O-S	3,6	0,2
O-H	2,6	0,063
S-C	4	0,173
S-N	3,75	0,179
S-O	3,6	0,2
S-S	4	0,2
S-H	3	0,063
H-C	3	0,055
H-N	2,75	0,057
H-O	2,6	0,063
H-S	3	0,063
H-H	2	0,02
