"","Correlation","Gene"
"171",0.549654967689968,"TRAPPC6A"
"172",0.440608322034352,"MATK"
"173",-0.0619082079891277,"CEACAM7"
"174",0.648217555055704,"CD79B"
"175",0.330929743664471,"SCN4A"
"176",0.505558072640026,"ST7L"
"177",0.999629360646558,"TKTL1"
"179",0.405013001528765,"RPUSD1"
"180",0.896318157319512,"RHBDF1"
"181",0.414133118049036,"LUC7L"
"182",0.511868441962465,"CACNA2D2"
"183",0.707157203071662,"BAIAP3"
"184",0.654777148640913,"TSR3"
"185",0.340259934799492,"PIGQ"
"186",0.445910509904645,"CRAMP1"
"187",0.452574908973698,"TEAD3"
"188",0.539389908620039,"SELE"
"189",0.272671898697888,"DNAJC11"
"190",0.849559088364478,"FMO3"
"191",0.534652333463284,"MYLIP"
"193",0.551254483679766,"E2F2"
"194",0.837672446820973,"PSMB1"
"195",0.302275014576811,"SYN1"
"196",0.595099102326053,"JARID2"
"197",0.887227459583785,"CDKL5"
"198",-0.0943723801786764,"CAMK1G"
"199",0.187335572634673,"CDK11A"
"200",0.556049936902959,"NADK"
"201",-0.0801154494307056,"TFAP2B"
"203",0.589428205456325,"DLEC1"
"204",0.718237617966568,"CYTH3"
"205",0.337078143138721,"ADAM22"
"206",0.859009453019865,"SYPL1"
"207",0.987165978443505,"CYB561"
"208",0.689869837447075,"SPAG9"
"209",0.874598604133767,"CELSR3"
"210",0.404441166163093,"AASS"
"211",0.905146015362829,"PLEKHG6"
"212",0.716531203106467,"SS18L2"
"213",0.365015049410251,"MPND"
"214",0.89125921281057,"MGST1"
"215",0.295353331504315,"CRY1"
"216",0.733147987986451,"PGLYRP1"
"217",0.61166247833457,"NFIX"
"218",0.876229216650593,"ST3GAL1"
"219",-0.239961607610349,"MMP25"
"220",0.914834306633319,"IL32"
"221",0.634524538657715,"PKD1"
"222",0.601389206247143,"MAPK8IP2"
"223",0.550825806521972,"MED24"
"224",0.159968089029655,"RHOBTB2"
"225",0.65107094114252,"HEATR5B"
"226",0.357368084257442,"SEC62"
"227",0.608097846280943,"RPS20"
"228",0.382173781981396,"CSDE1"
"229",0.648233038943614,"UBE3C"
"230",0.338939481092288,"REV3L"
"231",0.863140267759264,"TENM1"
"232",-0.106676149412533,"PAX7"
"233",0.92126186303818,"MASP2"
"234",0.853504997671278,"IYD"
"235",0.354115895452822,"FAM76A"
"236",0.73089220935367,"TRAF3IP3"
"237",0.38498313674487,"POMT2"
"238",0.553906638306897,"VTA1"
"239",0.0343511318572061,"MLXIPL"
"240",0.577998594477347,"BAZ1B"
"241",0.820981270401942,"RANBP9"
"242",0.591865538480737,"ETV7"
"243",0.56570502084429,"SPRTN"
"244",0.76354775677696,"METTL13"
"245",0.652892035471971,"DYRK4"
"246",0.594477939961364,"ZNF207"
"247",0.800116448817842,"UQCRC1"
"248",0.529573857491685,"STARD3NL"
"249",0.893034397398809,"CD9"
"251",0.912373712613171,"NCAPD2"
"252",0.0327318031547832,"IFFO1"
"253",0.887282511011921,"GIPR"
"254",0.149547488732015,"PHF7"
"255",0.516375065245068,"SEMA3G"
"256",0.472054132697954,"NISCH"
"257",0.734218560679342,"STAB1"
"258",0.255551402566333,"FUZ"
"259",0.649861633930207,"SLC6A13"
"260",0.39084480887807,"IDS"
"261",0.862576580313597,"PRSS3"
"262",0.876994882012772,"ZNF200"
"263",0.45057672456829,"CD4"
"264",-0.109283839644326,"LRRC23"
"265",0.528458602239292,"BTK"
"266",0.864669561631851,"HFE"
"267",0.632741972120896,"SCMH1"
"268",0.472170624984115,"FYN"
"269",0.591150675826857,"HIVEP2"
"270",0.96534344947019,"FMO1"
"271",0.548943737613107,"TCEB3"
"272",0.203072806048354,"LYPLA2"
"273",0.616537237934157,"CLCN6"
"274",0.908091264577946,"MRC2"
"276",0.0548856914176102,"SLC6A7"
"277",0.504206690338868,"TSPAN9"
"278",0.764750394912699,"BTBD7"
"279",0.0353835452000769,"APBA3"
"280",0.346176662605038,"MKS1"
"281",0.609889731488144,"ABHD5"
"282",0.935503807379978,"ANOS1"
"283",0.298823089315819,"AKAP8L"
"284",0.363401204178282,"MBTD1"
"285",0.803321801233918,"UTP18"
"286",0.447872814151296,"RNF216"
"287",0.730153513717149,"TTC19"
"288",0.598094532672294,"PTBP1"
"289",0.781621714877754,"DPF1"
"290",0.839643966497702,"SYT7"
"291",0.714187572589019,"LARS2"
"292",0.658129160342839,"PIK3C2A"
"293",0.889301608679492,"PLAUR"
"294",0.969147808890912,"ANLN"
"295",0.373422847591043,"WIZ"
"296",0.880754458227074,"RABGAP1"
"297",0.875173448088486,"DCN"
"298",0.488565973696913,"QPCTL"
"299",0.476810545922304,"PPP5C"
"300",-0.226094437914252,"CEP68"
"301",0.864949376233193,"MAP4K3"
"302",-0.186607144632113,"ZBTB32"
"303",0.31312710720066,"TYROBP"
"304",0.606950723561871,"TMEM159"
"305",0.172279686414434,"GABRA3"
"306",0.856346956741787,"BRCA1"
"307",0.500772014742631,"ERCC1"
"308",0.660488457124297,"CD22"
"309",0.856194370062761,"SEMA3B"
"310",0.889072188810365,"MBTPS2"
"311",0.152337651554515,"PRICKLE3"
