"","A1","A2","A3","B1","B2","B3","B4","B5","А4","А5"
"ENSG00000005381",1,6,8,76,69,51,80,410,1,17
"ENSG00000005421",10,12,13,30,38,23,33,1,14,6
"ENSG00000005436",790,903,837,406,432,539,496,661,840,914
"ENSG00000005448",104,102,105,105,85,85,74,733,113,188
"ENSG00000005469",1888,2113,1782,353,430,406,347,276,2024,1805
"ENSG00000005471",113,95,90,113,159,134,116,104,96,24
"ENSG00000005483",3607,3968,3861,5089,4633,5081,4620,1534,3931,1519
"ENSG00000005486",584,601,517,171,219,124,69,2416,490,2079
"ENSG00000005513",17,12,20,16,12,16,16,104,21,32
"ENSG00000005700",1716,1814,1701,567,571,702,588,455,1705,1251
"ENSG00000005801",1058,1051,1082,1028,1150,1268,987,402,1007,963
"ENSG00000005810",3711,4291,3906,6802,6723,6654,7463,5527,3725,3308
"ENSG00000005812",3222,3451,3650,1796,1863,1989,1767,1651,3587,3267
"ENSG00000005844",678,633,591,3228,3214,3212,3197,13003,587,529
"ENSG00000005882",853,730,799,177,157,154,142,764,881,2153
"ENSG00000005884",3224,3748,3876,224,201,176,239,254,3206,5909
"ENSG00000005889",2487,2529,2419,1705,1731,1950,1679,507,2632,1013
"ENSG00000005893",5071,5121,5055,3914,3815,4206,3949,8743,5198,7353
"ENSG00000005961",26,21,32,362,342,312,326,2462,18,15
"ENSG00000005981",175,196,187,311,312,331,285,26,189,36
"ENSG00000006007",2327,2334,2428,823,828,1011,957,2617,2251,3039
"ENSG00000006015",420,373,487,210,235,214,227,2112,487,661
"ENSG00000006016",58,58,37,44,62,45,55,85,37,64
"ENSG00000006025",1333,1186,1291,158,198,136,153,1300,1162,2578
"ENSG00000006042",2275,2136,2296,75,108,90,63,87,2266,4687
"ENSG00000006047",174,142,143,20,31,28,18,18,160,719
"ENSG00000006059",0,0,0,2,1,0,2,0,0,0
"ENSG00000006062",418,363,419,375,206,346,288,2374,423,801
"ENSG00000006071",135,160,127,115,88,120,142,19,91,328
"ENSG00000006116",6,1,2,14,21,12,19,0,1,1
"ENSG00000006118",163,183,105,126,149,117,118,15,115,182
"ENSG00000006125",2279,2445,2265,3302,3431,2704,3060,4885,2051,3669
"ENSG00000006128",64,46,49,4,9,11,4,8,52,137
"ENSG00000006194",790,836,847,539,562,621,511,1542,854,917
"ENSG00000006210",123,146,127,70,59,54,64,22,129,413
"ENSG00000006282",972,834,904,215,238,193,198,1610,921,2003
"ENSG00000006283",116,103,142,146,148,162,153,15,133,2
"ENSG00000006327",735,722,857,51,51,51,57,207,806,1709
"ENSG00000006377",2,5,3,31,29,21,26,5,8,0
"ENSG00000006432",670,559,628,181,218,142,109,189,581,427
"ENSG00000006451",1085,1249,1060,250,225,299,310,819,1057,2511
"ENSG00000006453",1357,1415,1329,175,235,197,238,76,1314,2811
"ENSG00000006459",3740,4199,3744,4527,4346,4278,4586,1741,3650,2607
"ENSG00000006468",114,124,126,83,95,92,77,19,136,121
"ENSG00000006530",889,942,888,1306,1420,1419,1401,684,905,463
"ENSG00000006534",758,598,722,390,346,277,239,4132,768,1320
"ENSG00000006555",1090,906,902,206,199,150,199,896,903,1810
"ENSG00000006576",516,623,487,1155,989,1117,998,433,518,384
"ENSG00000006606",6,5,3,6,1,1,0,0,5,11
"ENSG00000006607",2810,2870,3008,707,717,615,753,407,2733,1631
"ENSG00000006611",4201,4016,4046,72,83,45,82,107,3947,8083
"ENSG00000006625",491,547,521,60,69,77,56,248,538,1010
"ENSG00000006634",404,396,409,327,263,256,267,263,410,388
"ENSG00000006638",44,49,51,55,47,63,48,161,45,66
"ENSG00000006652",2401,2568,2275,2203,2352,2370,2432,1491,2587,2671
"ENSG00000006659",34,14,14,23,18,19,25,7,30,4
"ENSG00000006695",610,606,585,192,183,183,167,324,560,663
"ENSG00000006704",316,323,265,60,73,51,41,78,364,952
"ENSG00000006712",462,399,618,184,116,162,154,2532,544,1408
"ENSG00000006715",2147,2416,2294,2811,2535,2787,2494,1172,2375,958
