"","A1","A2","A3","B1","B2","B3","B4","B5","А4","А5"
"ENSG00000151131",4945,6325,4739,9340,9290,9296,9777,3185,4759,4297
"ENSG00000151135",1467,1661,1593,380,371,447,431,405,1528,1364
"ENSG00000151136",75,47,71,330,315,322,310,459,57,63
"ENSG00000151148",1540,1558,1633,1411,1377,1403,1415,1135,1477,1388
"ENSG00000151150",7124,7284,7400,1458,1737,1567,1550,209,7240,5428
"ENSG00000151151",2637,2809,2512,1263,1153,1211,1160,458,2958,2106
"ENSG00000151164",93,96,165,151,157,143,139,52,92,73
"ENSG00000151176",469,340,372,148,166,93,125,1166,346,919
"ENSG00000151208",572,625,761,50,80,58,83,213,628,890
"ENSG00000151224",1,0,1,20,8,15,20,0,2,3
"ENSG00000151229",2087,2178,2187,364,388,342,390,130,2261,1090
"ENSG00000151233",888,941,1010,579,578,620,576,411,865,801
"ENSG00000151239",5341,5704,5427,812,888,886,966,439,5700,4968
"ENSG00000151240",739,783,793,238,178,235,155,80,918,809
"ENSG00000151247",3047,3425,3091,1407,1440,1572,1587,1187,3013,2925
"ENSG00000151276",1037,1108,1161,47,44,67,63,13,1118,673
"ENSG00000151287",172,148,172,45,49,57,44,92,159,272
"ENSG00000151292",3337,3330,3612,509,665,613,743,184,3881,1181
"ENSG00000151304",429,533,482,244,293,281,264,183,485,224
"ENSG00000151320",704,516,620,395,363,401,371,91,511,189
"ENSG00000151322",82,62,101,85,82,133,109,27,58,14
"ENSG00000151327",2123,2208,2260,715,727,665,677,1161,2126,2661
"ENSG00000151332",392,447,487,151,164,167,163,211,441,668
"ENSG00000151338",4062,4675,3953,7747,7724,7831,7740,186,3858,755
"ENSG00000151348",2306,2157,2402,898,898,923,844,946,2197,2567
"ENSG00000151353",843,823,808,293,251,283,247,757,919,1345
"ENSG00000151360",0,3,7,8,6,12,7,0,0,2
"ENSG00000151364",103,85,101,9,5,4,6,4,91,227
"ENSG00000151365",16,18,9,13,10,6,8,0,12,0
"ENSG00000151366",2495,2018,2341,248,268,299,264,2426,2684,5315
"ENSG00000151376",218,175,269,53,51,78,62,119,230,259
"ENSG00000151379",0,0,0,2,2,1,1,0,0,0
"ENSG00000151388",68,51,53,31,53,28,66,1,67,37
"ENSG00000151413",430,431,417,588,684,646,721,93,460,147
"ENSG00000151414",3822,4143,3908,3587,3423,3831,3805,938,3973,2424
"ENSG00000151418",0,0,0,2,0,3,2,0,0,0
"ENSG00000151422",1463,1479,1765,1420,1479,1560,1525,194,1552,243
"ENSG00000151445",629,612,581,504,419,416,407,1131,595,781
"ENSG00000151458",973,1084,1097,485,487,477,532,205,1031,713
"ENSG00000151461",1577,1707,1695,1299,1477,1496,1282,1364,1532,1344
"ENSG00000151465",831,884,916,873,747,788,799,3365,876,1291
"ENSG00000151466",819,942,947,1944,1987,2153,1936,794,915,200
"ENSG00000151468",127,134,138,6,7,5,8,13,137,411
"ENSG00000151470",827,720,717,312,331,315,276,250,870,982
"ENSG00000151474",825,891,417,402,536,600,503,438,807,460
"ENSG00000151475",0,0,0,4,3,6,4,0,0,0
"ENSG00000151490",127,82,90,171,180,294,294,104,71,77
"ENSG00000151491",4531,4985,4410,242,199,267,284,93,4539,3271
"ENSG00000151498",770,805,802,455,530,555,497,1151,746,1148
"ENSG00000151500",580,551,569,253,311,313,252,1302,579,1053
"ENSG00000151502",1285,1214,1157,1055,1041,977,910,3504,1264,2119
"ENSG00000151503",701,640,791,587,600,504,495,600,595,638
"ENSG00000151532",1442,1441,1499,1697,1642,1784,1595,695,1386,640
"ENSG00000151552",157,144,151,89,62,64,89,575,147,1159
"ENSG00000151553",2517,2732,2386,1098,1135,1403,1214,1181,2449,2214
"ENSG00000151572",27,15,75,24,9,7,19,0,43,24
"ENSG00000151575",1257,1295,1166,1116,1011,1113,1037,105,1143,557
"ENSG00000151576",969,1170,974,1074,1155,1153,995,549,943,540
"ENSG00000151577",0,0,0,12,11,8,6,3,0,1
"ENSG00000151611",622,635,631,224,268,322,257,269,611,779
"ENSG00000151612",710,791,800,451,416,380,429,90,698,629
"ENSG00000151615",0,0,1,10,15,15,11,0,0,0
"ENSG00000151617",73,83,62,27,23,24,16,11,56,89
"ENSG00000151623",2563,2566,2619,682,603,851,695,152,2142,1186
"ENSG00000151631",7,4,7,13,4,9,12,0,5,0
"ENSG00000151632",292,281,309,149,155,132,180,82,270,561
"ENSG00000151640",18,6,8,10,17,12,13,52,3,6
"ENSG00000151650",81,58,90,119,97,93,93,1136,77,28
"ENSG00000151651",139,153,177,2374,2216,2104,2294,14714,105,195
"ENSG00000151655",19,13,7,52,35,58,58,28,11,10
"ENSG00000151657",884,945,968,600,661,657,726,772,917,1149
"ENSG00000151665",491,465,548,378,379,462,474,499,474,747
"ENSG00000151687",422,461,515,248,252,293,295,106,562,114
"ENSG00000151689",716,669,840,195,207,196,198,455,718,1467
"ENSG00000151690",1460,1775,1531,1250,1091,1076,1090,904,1479,2193
"ENSG00000151692",401,382,289,737,798,893,863,659,412,274
"ENSG00000151693",1350,1390,1328,118,149,130,116,46,1478,1134
"ENSG00000151694",1596,1601,1700,1631,1520,1724,1578,960,1560,1060
"ENSG00000151702",599,553,724,2617,2531,2203,2406,6859,540,750
"ENSG00000151704",9,7,7,39,47,24,36,2,5,2
"ENSG00000151715",6621,6712,7167,308,253,341,281,417,7215,10040
"ENSG00000151718",364,269,362,210,193,260,253,24,347,268
"ENSG00000151725",135,176,131,56,33,37,31,68,150,132
"ENSG00000151726",1072,1076,1041,9650,10251,10685,10474,28294,1097,1589
"ENSG00000151729",3280,2994,3302,131,142,143,126,297,3492,7331
"ENSG00000151743",445,434,445,642,729,612,690,200,420,361
"ENSG00000151746",198,172,178,293,255,273,246,198,139,173
"ENSG00000151748",1164,1125,1183,281,281,335,280,271,1130,1555
"ENSG00000151773",1024,1065,1110,1637,1743,1640,1775,109,1101,406
"ENSG00000151778",63,48,67,5,10,6,18,12,52,125
"ENSG00000151779",3518,3599,3307,1696,2054,2389,2109,2120,3076,2408
"ENSG00000151789",68,68,46,134,206,315,257,72,33,44
"ENSG00000151790",48,52,57,8,9,12,6,0,61,68
"ENSG00000151806",903,1089,953,544,564,434,514,1126,1005,1380
"ENSG00000151812",49,58,49,101,104,77,106,4,42,10
"ENSG00000151834",37,28,22,173,220,120,154,6,49,36
"ENSG00000151835",902,959,921,1196,1356,1205,1401,258,934,384
"ENSG00000151838",8,2,7,8,14,25,15,0,8,0
"ENSG00000151846",1,2,1,6,8,7,9,4,0,2
"ENSG00000151849",463,496,449,210,169,167,150,369,502,982
"ENSG00000151876",290,368,312,101,102,132,109,178,378,428
"ENSG00000151881",215,370,265,205,165,183,217,132,203,260
"ENSG00000151882",1220,1219,1205,327,373,358,311,375,1250,1819
"ENSG00000151883",2846,2906,2641,8506,8686,8974,8583,5450,2926,1272
"ENSG00000151892",362,532,546,55,98,68,45,3,531,408
"ENSG00000151893",4017,3989,3547,4958,4602,4978,4426,1240,3315,1173
"ENSG00000151914",13574,14625,12957,1268,1207,1052,1301,404,12779,8996
"ENSG00000151917",185,182,113,261,235,278,223,32,149,36
"ENSG00000151923",1736,2203,1954,1023,1177,1236,949,3086,1787,3295
"ENSG00000151929",200,201,188,39,27,18,34,446,176,872
"ENSG00000151948",9,5,3,965,923,938,893,4270,1,1
"ENSG00000151952",36,22,41,20,39,26,27,23,31,59
"ENSG00000151962",20,22,18,31,6,5,10,2,18,26
"ENSG00000151963",0,0,1,2,1,0,2,1,1,1
"ENSG00000151967",161,213,206,196,196,185,201,143,311,89
"ENSG00000152034",10,6,9,16,16,20,9,0,7,2
"ENSG00000152049",485,614,504,871,973,988,938,40,533,92
"ENSG00000152056",476,483,483,224,164,169,165,84,432,328
"ENSG00000152061",6220,6479,6289,6314,6072,6129,6422,3030,6056,2184
"ENSG00000152076",13,2,23,8,8,12,21,6,6,22
"ENSG00000152078",2056,2115,2043,10544,11882,13922,13509,31,2342,1005
"ENSG00000152082",709,457,782,240,220,182,191,1835,682,1063
"ENSG00000152086",2,1,3,8,4,11,8,0,1,1
"ENSG00000152092",11,25,9,34,35,51,44,0,8,21
"ENSG00000152093",0,0,0,1,1,0,1,1,0,3
"ENSG00000152102",3246,3046,3197,999,937,950,976,3434,3096,5046
"ENSG00000152104",790,832,702,419,442,453,489,89,815,487
"ENSG00000152117",313,302,327,115,103,113,128,1433,267,937
"ENSG00000152127",4745,4089,4324,2225,2061,2189,2069,1438,4152,2663
"ENSG00000152128",28,27,30,52,39,45,39,48,22,17
"ENSG00000152133",592,575,465,483,436,532,532,339,563,507
"ENSG00000152137",242,248,259,22,12,5,9,14,252,805
"ENSG00000152147",593,448,638,262,304,246,217,279,524,795
"ENSG00000152154",22,21,15,6,8,7,8,3,20,38
"ENSG00000152192",1,3,0,15,20,19,21,2,0,0
"ENSG00000152193",450,518,506,241,231,241,230,249,502,514
"ENSG00000152207",211,181,226,612,677,743,626,354,189,78
"ENSG00000152208",3,7,5,76,135,17,74,0,4,3
"ENSG00000152213",153,182,121,1003,1064,1165,931,1047,90,116
"ENSG00000152214",31,26,29,72,60,63,69,9,21,3
"ENSG00000152217",634,513,549,472,526,544,575,186,589,175
"ENSG00000152219",715,576,623,618,631,627,694,526,691,493
"ENSG00000152223",1732,1816,1614,2660,2463,2278,2526,1316,1551,1087
"ENSG00000152229",294,241,301,750,738,750,658,1259,308,336
"ENSG00000152234",21802,22086,23720,3694,3841,3996,3974,16746,23022,31293
"ENSG00000152240",260,351,292,130,107,136,123,170,314,339
"ENSG00000152242",1324,1213,1136,1810,1713,1758,1721,979,1076,1031
"ENSG00000152253",34,24,10,6,36,36,19,4,32,80
"ENSG00000152254",32,16,7,3,1,2,2,1,7,10
"ENSG00000152256",3416,3351,3531,2015,1921,1849,1968,624,3320,1410
"ENSG00000152266",0,0,2,4,6,9,3,0,1,0
"ENSG00000152270",767,808,821,4559,4858,5220,4769,1057,960,400
"ENSG00000152284",131,114,118,144,186,175,174,127,125,126
"ENSG00000152291",9018,8836,8677,5060,4941,4925,4613,10691,8396,14790
"ENSG00000152292",216,206,227,134,131,182,132,60,196,319
"ENSG00000152315",15,13,12,16,19,12,13,74,8,32
"ENSG00000152332",7305,8175,7616,4439,4511,5137,4502,3361,7860,5370
"ENSG00000152348",354,425,393,238,222,306,222,113,338,290
"ENSG00000152359",272,251,277,222,322,316,330,216,297,155
"ENSG00000152377",108,56,81,62,46,74,78,15,98,170
"ENSG00000152380",233,202,199,284,308,246,281,19,213,28
"ENSG00000152382",502,565,495,206,250,224,228,428,572,645
"ENSG00000152402",219,263,226,61,48,54,81,1,241,86
"ENSG00000152404",792,919,748,615,701,734,629,452,852,412
"ENSG00000152409",1579,1749,1593,603,659,650,576,582,1649,1224
"ENSG00000152413",196,188,178,76,84,62,71,5,181,75
"ENSG00000152422",202,246,209,88,88,101,107,88,245,223
"ENSG00000152430",16,3,13,14,22,33,24,0,3,2
"ENSG00000152433",59,71,80,89,92,109,78,57,52,35
"ENSG00000152439",353,316,296,470,491,390,398,386,336,349
"ENSG00000152443",1169,963,1232,1187,1286,996,1059,583,916,590
"ENSG00000152454",128,132,118,82,90,104,81,168,120,165
"ENSG00000152455",331,441,325,230,267,252,200,115,323,253
"ENSG00000152457",601,780,733,682,692,653,626,408,607,491
"ENSG00000152463",23,33,17,38,48,51,44,5,21,3
"ENSG00000152464",382,464,403,198,164,234,187,648,407,725
"ENSG00000152465",865,986,972,477,515,493,387,828,937,1153
"ENSG00000152467",2,0,0,1,4,6,12,0,2,5
"ENSG00000152475",68,44,64,14,7,13,21,50,57,82
"ENSG00000152484",2435,2528,2371,1587,1645,1774,1667,625,2249,2796
"ENSG00000152492",3504,3483,3260,838,920,753,832,1367,3358,3630
"ENSG00000152495",642,684,845,3119,3174,3099,3080,1355,553,214
"ENSG00000152503",1387,1510,1488,133,92,75,106,38,1391,973
"ENSG00000152518",3223,3162,2978,1760,1737,1751,1750,12245,3187,12032
"ENSG00000152520",1726,1862,1716,2797,2570,2805,2621,1742,1712,1617
"ENSG00000152527",690,811,737,184,111,122,136,50,735,314
"ENSG00000152556",988,1077,1193,404,359,313,379,410,967,1121
"ENSG00000152558",3384,3450,3166,4863,4755,4241,3586,5049,3040,3138
"ENSG00000152578",29,25,40,63,76,74,72,3,20,7
"ENSG00000152580",125,142,113,63,36,24,49,27,211,79
"ENSG00000152582",310,301,260,603,540,552,586,211,287,105
"ENSG00000152583",7913,8361,7993,201,184,166,201,142,7972,11808
"ENSG00000152591",0,0,0,9,10,6,10,0,0,0
"ENSG00000152592",0,2,0,11,10,9,13,0,0,0
"ENSG00000152595",0,0,0,4,4,6,6,0,0,0
"ENSG00000152601",7881,8059,8133,20897,21067,20122,20210,4135,8006,5586
"ENSG00000152611",0,2,0,4,3,3,11,0,4,1
"ENSG00000152620",1466,1826,1627,382,363,347,360,269,1752,1451
"ENSG00000152642",3509,3562,3528,599,576,709,533,702,3264,4371
"ENSG00000152661",1390,1467,1393,50,62,58,57,22,1430,1989
"ENSG00000152669",1,4,3,3,2,2,1,0,0,3
"ENSG00000152670",0,0,0,11,12,18,14,14,0,0
"ENSG00000152672",54,47,46,36,30,34,41,111,46,72
"ENSG00000152683",1480,1721,1497,807,881,849,843,724,1632,1118
"ENSG00000152684",787,991,904,134,143,201,192,1165,877,1133
"ENSG00000152689",542,555,534,581,541,529,633,243,548,198
"ENSG00000152700",9004,9710,9474,2260,2305,2528,2544,954,9332,7436
"ENSG00000152705",22,32,22,7,11,2,10,34,25,46
"ENSG00000152749",491,549,549,300,332,361,335,183,507,360
"ENSG00000152760",17,20,18,15,12,18,9,11,36,19
"ENSG00000152763",148,157,208,178,131,173,257,64,158,60
"ENSG00000152766",150,159,181,75,72,85,84,108,202,230
"ENSG00000152767",1349,1333,1279,1057,1082,1170,1181,248,1376,734
"ENSG00000152778",882,959,933,582,548,634,523,806,968,871
"ENSG00000152779",33,32,39,61,39,33,44,12,37,29
"ENSG00000152782",1375,1658,1581,130,114,146,95,49,1548,1718
"ENSG00000152784",41,51,69,170,134,148,183,209,55,102
"ENSG00000152785",1212,1405,1284,49,38,50,43,24,1231,896
"ENSG00000152795",7373,7124,7115,1812,1945,2011,1807,8381,7387,11516
"ENSG00000152804",76,71,71,272,224,214,215,1798,74,183
"ENSG00000152818",5140,6053,4876,13853,14515,14251,12965,1975,5363,1448
"ENSG00000152822",4,4,8,31,40,40,40,1,12,1
"ENSG00000152894",2916,3124,2846,324,392,363,371,53,2878,1271
"ENSG00000152904",781,863,848,280,266,312,234,846,780,1338
"ENSG00000152910",15,6,18,17,19,33,23,0,12,11
"ENSG00000152926",453,555,489,1626,1595,1733,1450,867,498,399
"ENSG00000152932",523,523,504,182,25,97,87,2,421,420
"ENSG00000152936",61,55,70,51,99,58,65,9,54,45
"ENSG00000152939",590,357,357,36,36,23,50,20,347,857
"ENSG00000152942",105,142,73,126,91,176,137,247,84,13
"ENSG00000152944",858,806,786,433,460,496,466,380,857,668
"ENSG00000152952",4627,5917,4981,390,342,394,414,106,5099,4704
"ENSG00000152953",11,32,21,43,57,37,42,31,22,41
"ENSG00000152954",114342,80992,115636,89333,98262,95627,111009,180,122907,282
"ENSG00000152969",16,11,20,122,123,99,140,313,9,13
"ENSG00000152977",36,23,29,12,22,23,58,9,36,27
"ENSG00000152990",1571,1369,1250,324,261,316,295,44,1230,856
"ENSG00000153002",9,15,19,41,23,45,51,37,27,21
"ENSG00000153006",843,848,993,530,560,548,672,768,1018,789
"ENSG00000153012",52,78,79,23,18,14,23,14,36,93
"ENSG00000153015",358,359,388,279,227,249,244,319,295,417
"ENSG00000153029",865,953,857,1557,1551,1556,1387,1759,946,672
"ENSG00000153037",1405,1546,1339,594,559,554,585,1166,1292,2213
"ENSG00000153044",135,169,129,70,51,44,58,163,132,150
"ENSG00000153046",767,764,902,1540,1459,1331,1386,375,741,389
"ENSG00000153048",898,707,942,443,506,436,406,3116,801,1514
"ENSG00000153060",3,1,4,14,8,3,9,3,4,2
"ENSG00000153064",72,100,56,875,686,857,813,1321,43,96
"ENSG00000153066",1936,2133,1926,405,510,509,447,1599,1996,3279
"ENSG00000153071",901,1024,869,613,590,612,512,307,968,728
"ENSG00000153086",18,9,16,36,42,27,31,16,14,10
"ENSG00000153093",67,102,61,108,119,102,92,17,75,24
"ENSG00000153094",1567,1585,1429,1105,1108,1140,1048,1320,1356,1688
"ENSG00000153107",1859,1747,1927,1806,1854,1922,1631,1400,1954,993
"ENSG00000153113",12173,12876,12260,4838,5013,5314,4707,6447,11358,12888
"ENSG00000153130",1773,1817,1868,180,182,179,192,240,2036,2383
"ENSG00000153132",62,62,63,5,15,19,15,7,60,69
"ENSG00000153140",291,363,288,59,66,74,66,59,262,396
"ENSG00000153147",3605,4679,4117,1412,1442,1760,1330,1439,4522,3056
"ENSG00000153157",40,19,44,31,44,50,87,34,29,9
"ENSG00000153162",219,212,242,93,91,82,93,199,204,296
"ENSG00000153165",5,26,17,19,29,21,23,3,1,9
"ENSG00000153179",956,1067,1052,3289,3226,3329,3030,5877,949,1463
"ENSG00000153187",12068,12302,11685,10348,10337,10420,9460,25465,10996,16381
"ENSG00000153201",8774,9726,8641,3876,4017,4155,3609,1521,9251,4046
"ENSG00000153207",2623,2477,2737,3397,3396,3308,3329,3731,2169,2012
"ENSG00000153208",1273,1353,1184,103,117,129,84,143,1144,1274
"ENSG00000153214",5013,5356,4597,580,676,687,906,757,4912,4987
"ENSG00000153230",0,0,0,2,1,4,3,0,0,0
"ENSG00000153233",359,375,289,14,17,10,25,10,311,346
"ENSG00000153234",81,68,96,50,50,37,64,104,90,192
"ENSG00000153237",106,133,96,216,189,202,187,11,92,32
"ENSG00000153246",2856,2959,2418,149,151,144,139,41,2780,1798
"ENSG00000153250",1072,1080,1311,2813,2685,2811,2639,2221,1147,965
"ENSG00000153253",271,292,302,179,145,193,274,25,258,87
"ENSG00000153266",1,0,0,7,5,5,11,0,0,0
"ENSG00000153283",780,666,819,1533,1530,1517,1542,2244,849,654
"ENSG00000153291",90,157,66,21,21,20,26,35,95,137
"ENSG00000153292",989,988,850,290,331,346,326,39,935,1054
"ENSG00000153294",6,10,2,4,6,11,6,1,1,14
"ENSG00000153303",104,104,113,35,31,44,37,16,101,148
"ENSG00000153310",1557,1612,1590,4905,4676,4985,4711,7839,1510,1404
"ENSG00000153317",768,819,682,2518,2580,2466,2154,1543,725,393
"ENSG00000153339",3554,3784,4024,2943,3112,3271,3055,1460,3847,2498
"ENSG00000153347",10,8,7,14,17,18,16,0,4,0
"ENSG00000153391",787,948,778,1313,1255,1308,1219,775,744,597
"ENSG00000153395",85,83,82,378,386,460,383,2912,144,145
"ENSG00000153404",65,58,75,90,79,32,43,11,47,12
"ENSG00000153406",267,266,308,135,140,119,137,724,292,445
"ENSG00000153443",148,133,108,53,50,15,26,1678,101,1011
"ENSG00000153446",77,61,62,40,35,30,39,18,82,104
"ENSG00000153485",103,87,91,35,33,50,38,214,114,300
"ENSG00000153487",634,731,605,367,334,292,279,1201,592,1425
"ENSG00000153495",10,12,2,7,7,4,8,27,15,14
"ENSG00000153498",8,10,13,9,12,10,13,12,9,2
"ENSG00000153531",248,304,233,52,41,59,42,92,339,650
"ENSG00000153551",114,109,94,412,385,317,338,5457,91,269
"ENSG00000153558",292,382,356,349,426,359,368,55,274,111
"ENSG00000153560",1712,1994,1965,1142,944,1160,1163,1652,1672,2798
"ENSG00000153561",5996,6068,6873,5153,4723,5119,4596,2996,5677,3292
"ENSG00000153563",470,496,529,812,761,733,700,7444,492,1288
"ENSG00000153574",269,298,319,934,882,968,986,1187,311,858
"ENSG00000153684",0,1,0,11,10,9,11,1,2,0
"ENSG00000153707",604,673,651,32,37,55,40,2,561,314
"ENSG00000153714",183,196,177,15,10,19,5,8,192,304
"ENSG00000153721",7660,7087,7382,383,449,372,339,91,6370,7144
"ENSG00000153767",429,505,440,261,360,408,366,304,445,360
"ENSG00000153774",1496,1422,1540,406,366,401,315,448,1522,2535
"ENSG00000153779",0,0,0,0,1,1,0,0,0,0
"ENSG00000153786",1959,1991,2040,1990,1881,1684,1460,4574,1780,2280
"ENSG00000153789",48,62,66,37,49,44,42,0,61,124
"ENSG00000153790",89,63,44,45,38,83,56,250,55,285
"ENSG00000153802",21,9,26,20,21,51,38,2,1,0
"ENSG00000153814",298,355,279,1422,1217,1295,1336,3375,261,340
"ENSG00000153815",1310,1259,1404,536,486,523,496,2505,1271,3218
"ENSG00000153820",3,3,1,13,57,18,12,0,1,3
"ENSG00000153822",109,131,137,111,125,116,122,123,118,81
"ENSG00000153823",583,550,652,199,282,281,197,426,565,780
"ENSG00000153827",7502,7814,7523,8046,8440,7869,7551,4659,7400,3738
"ENSG00000153832",132,168,153,69,70,62,71,28,156,124
"ENSG00000153879",3309,3498,3429,454,459,504,461,971,3471,5024
"ENSG00000153885",203,159,206,137,132,122,109,401,182,250
"ENSG00000153896",142,115,133,108,112,147,126,183,147,200
"ENSG00000153898",179,127,166,391,325,459,334,570,176,107
"ENSG00000153902",141,114,110,12,17,14,33,36,128,413
"ENSG00000153904",3187,3381,3153,83,64,55,46,52,3259,4417
"ENSG00000153914",3905,4222,3626,2460,2397,2790,2642,607,4070,2537
"ENSG00000153922",3225,3433,3308,2767,2902,3296,2764,1445,3543,2022
"ENSG00000153923",15,16,7,20,23,22,15,4,17,3
"ENSG00000153930",21,20,28,47,56,44,50,0,10,9
"ENSG00000153933",827,632,654,834,808,946,815,335,724,375
"ENSG00000153936",1037,1729,1532,722,765,748,640,410,1480,1156
"ENSG00000153944",1403,1219,1270,1864,2143,1908,2000,1165,1381,758
"ENSG00000153956",639,741,758,85,88,100,117,10,798,324
"ENSG00000153975",549,703,664,190,202,229,193,220,641,610
"ENSG00000153976",9,21,24,12,17,16,17,0,15,24
"ENSG00000153982",449,461,454,116,91,101,107,93,413,516
"ENSG00000153989",1234,1312,1182,550,509,585,544,1144,1196,2629
"ENSG00000153993",258,277,266,95,98,109,93,17,279,131
"ENSG00000154001",1723,1903,1759,735,769,882,790,787,1682,1609
"ENSG00000154007",0,0,0,0,4,4,3,0,0,0
"ENSG00000154016",96,87,77,316,284,254,294,2844,57,124
"ENSG00000154025",20,19,16,125,100,103,77,373,14,19
"ENSG00000154027",79,61,67,354,311,318,323,324,74,20
"ENSG00000154040",72,83,56,38,45,42,58,20,63,49
"ENSG00000154059",1222,1147,1259,295,253,294,257,362,1251,970
"ENSG00000154065",50,69,58,48,30,60,24,5,57,117
"ENSG00000154079",120,175,164,108,104,109,128,135,177,157
"ENSG00000154080",120,155,162,37,48,41,51,3,188,150
"ENSG00000154096",241,117,246,23,20,13,14,5,173,631
"ENSG00000154099",61,71,72,154,126,114,90,193,77,21
"ENSG00000154102",43,38,39,46,52,33,39,320,41,76
"ENSG00000154114",1137,1145,1256,1179,1247,1181,1272,266,1262,400
"ENSG00000154118",11,10,12,28,35,18,30,9,11,17
"ENSG00000154122",1973,1997,2200,1682,1755,1766,1720,4910,2151,3542
"ENSG00000154124",1636,1997,1955,2107,2375,2096,1812,648,2142,865
"ENSG00000154127",670,629,558,725,784,590,698,623,818,271
"ENSG00000154133",101,137,126,27,50,36,38,10,125,197
"ENSG00000154134",116,64,116,36,31,33,26,616,102,222
"ENSG00000154143",1,0,3,11,6,1,11,0,0,0
"ENSG00000154144",1493,1559,1351,1391,1292,1381,1145,2814,1409,2485
"ENSG00000154146",4,2,9,49,35,27,40,14737,5,37
"ENSG00000154153",3077,3271,3087,500,390,427,412,436,3092,3206
"ENSG00000154162",16,32,21,37,58,39,53,1,9,17
"ENSG00000154165",161,172,158,48,61,60,53,21,181,117
"ENSG00000154174",2814,3084,2976,807,754,942,854,1079,3103,2691
"ENSG00000154175",339,410,341,644,724,769,698,39,313,265
"ENSG00000154188",138,122,139,215,221,183,198,58,155,98
"ENSG00000154198",15,17,10,4,3,7,1,0,13,2
"ENSG00000154217",311,296,305,794,843,701,686,3425,270,332
"ENSG00000154222",1604,1918,1844,394,507,467,553,1595,1778,1540
"ENSG00000154227",11,7,6,17,25,44,27,6,0,1
"ENSG00000154229",3015,3681,3077,1757,1719,1811,1780,725,3424,2785
"ENSG00000154237",2867,2356,2820,12313,11836,9734,11911,2729,2395,3500
"ENSG00000154240",193,131,133,185,155,176,185,26,141,55
"ENSG00000154252",0,0,0,0,0,0,0,0,0,0
"ENSG00000154258",862,934,863,845,783,943,796,90,888,345
"ENSG00000154262",1584,1768,1515,257,317,281,306,58,1790,560
"ENSG00000154263",753,915,702,91,137,134,104,50,856,661
"ENSG00000154265",5592,5849,5699,1447,1557,1532,1390,487,6216,3044
"ENSG00000154269",1762,1794,1748,117,75,90,103,80,1629,2066
"ENSG00000154274",780,801,817,126,113,121,138,55,726,956
"ENSG00000154277",112,131,142,9,10,8,6,2,131,297
"ENSG00000154305",3170,3383,3380,1992,2006,1758,1925,3045,3135,3896
"ENSG00000154309",423,433,467,242,220,257,237,87,397,435
"ENSG00000154310",3350,3301,2915,1518,1299,1151,1193,799,3244,3276
"ENSG00000154316",1,1,3,5,7,5,3,1,3,5
"ENSG00000154319",24,18,16,37,41,42,35,42,25,54
"ENSG00000154328",93,83,112,171,153,131,171,518,100,196
"ENSG00000154330",1630,1670,1724,553,549,638,528,322,1740,2044
"ENSG00000154342",2,0,1,4,4,4,3,0,2,0
"ENSG00000154358",633,637,691,845,667,725,710,1357,629,537
"ENSG00000154359",60,80,67,115,69,92,90,80,97,34
"ENSG00000154370",784,717,773,316,291,393,275,3499,812,1163
"ENSG00000154380",4792,5193,4055,179,201,217,190,46,4501,3303
"ENSG00000154415",0,1,2,7,27,9,10,0,1,2
"ENSG00000154429",576,656,579,969,1026,1083,1069,647,638,375
"ENSG00000154438",37,22,30,79,52,49,95,33,32,9
"ENSG00000154447",1387,1455,1500,98,77,79,106,57,1469,1262
"ENSG00000154451",382,479,392,4616,4649,4906,4617,7351,412,364
"ENSG00000154473",2311,2293,2447,1445,1399,1417,1486,3524,2347,3106
"ENSG00000154478",17,13,16,37,24,35,41,2,12,5
"ENSG00000154479",44,54,46,39,36,56,27,2,44,21
"ENSG00000154485",16,8,14,12,15,11,14,0,10,8
"ENSG00000154493",3,7,2,5,17,19,25,1,2,4
"ENSG00000154511",429,465,401,224,245,249,282,410,414,637
"ENSG00000154518",5667,5152,5969,527,529,570,544,4539,6328,14465
"ENSG00000154529",425,414,482,723,970,912,920,391,363,316
"ENSG00000154545",85,54,73,21,15,7,16,58,55,126
"ENSG00000154548",81,131,97,136,201,209,169,19,106,20
"ENSG00000154553",1932,1629,1821,56,76,73,81,71,1800,3192
"ENSG00000154556",499,463,472,163,140,159,177,22,477,623
"ENSG00000154582",1226,1236,1178,869,891,811,908,1467,1299,2165
"ENSG00000154589",85,81,115,124,145,156,146,285,116,160
"ENSG00000154608",13,18,7,35,28,37,36,0,13,4
"ENSG00000154611",5,3,4,10,20,10,6,0,1,7
"ENSG00000154620",67,84,73,38,41,57,45,52,63,98
"ENSG00000154639",12124,11864,11268,211,175,164,184,118,11556,11200
"ENSG00000154640",1325,1534,1348,93,89,72,81,125,1327,1497
"ENSG00000154642",672,742,687,898,921,1117,921,519,763,406
"ENSG00000154645",96,114,116,20,23,35,38,11,101,71
"ENSG00000154646",16196,17094,17331,399,376,363,314,171,16500,13069
"ENSG00000154654",49,104,157,91,19,31,17,0,61,43
"ENSG00000154655",618,851,733,189,197,290,179,62,690,308
"ENSG00000154678",332,258,247,107,80,53,103,25,239,114
"ENSG00000154710",1138,1287,1225,784,834,697,718,975,1216,1163
"ENSG00000154719",475,496,511,131,107,105,101,266,465,806
"ENSG00000154721",289,325,305,289,315,276,303,102,293,470
"ENSG00000154723",898,916,852,82,74,67,96,713,1014,5342
